10	[194, 515, 135, 591, 335, 16, 592, 723, 84, 85, 83, 343, 976, 154, 415, 97, 739, 38, 40, 821]
11	[576, 769, 902, 519, 977, 978, 401, 20, 277, 727, 25, 26, 673, 225, 418, 678, 105, 426, 41, 106, 432, 305, 625, 816, 439, 187]
12	[512, 517, 262, 520, 264, 267, 523, 528, 532, 789, 22, 278, 534, 792, 284, 798, 31, 546, 805, 297, 812, 557, 304, 828, 317, 835, 324, 840, 586, 844, 81, 84, 86, 855, 344, 862, 96, 873, 364, 878, 623, 110, 114, 373, 886, 887, 635, 896, 901, 396, 145, 914, 404, 929, 419, 164, 167, 938, 431, 446, 706, 707, 200, 457, 970, 980, 469, 724, 472, 989, 994, 741, 229, 230, 233, 234, 752, 499, 245, 760, 764]
13	[-1]
14	[256, 898, 771, 519, 265, 138, 652, 655, 273, 658, 279, 24, 416, 160, 162, 295, 554, 170, 556, 48, 305, 439, 956, 67, 836, 331, 721, 978, 979, 596, 724, 727, 602, 218, 616, 617, 496, 625, 113, 244, 633, 762, 252, 766, 255]
15	[384, 129, 397, 785, 17, 916, 660, 150, 663, 668, 924, 420, 292, 934, 165, 551, 299, 685, 560, 566, 311, 312, 182, 316, 68, 69, 711, 968, 971, 206, 342, 343, 475, 731, 220, 734, 349, 492, 364, 624, 369, 370, 506, 636]
16	[708, 197, 710, 712, 137, 10, 909, 529, 916, 533, 930, 423, 807, 744, 425, 937, 615, 235, 302, 368, 949, 827]
17	[966, 329, 140, 272, 537, 348, 222, 479, 417, 290, 230, 103, 999, 491, 107, 366, 881, 243, 119]
18	[802, 70, 838, 134, 142, 782, 270, 403, 52, 888, 89, 891]
19	[1, 266, 651, 271, 787, 148, 21, 534, 151, 536, 666, 159, 33, 34, 289, 45, 688, 947, 438, 951, 569, 313, 832, 577, 66, 451, 326, 973, 593, 470, 856, 353, 481, 486, 365, 240, 501, 504, 123, 894]
20	[288, 97, 37, 135, 460, 748]
21	[320, 322, 131, 776, 9, 522, 334, 336, 464, 722, 276, 919, 922, 91, 28, 861, 414, 799, 98, 360, 552, 810, 505, 430, 688, 561, 438, 697, 445]
22	[744, 693, 909, 263]
23	[141, 207, 175, 176, 252, 638, 255]
24	[640, 768, 514, 964, 965, 390, 646, 453, 649, 713, 395, 521, 394, 657, 788, 981, 854, 90, 540, 671, 867, 996, 614, 871, 755, 246, 247, 502, 315, 127, 958, 763]
25	[208, 186, 950, 590]
26	[65, 994, 391, 586, 654, 687, 753, 435, 248, 217, 476, 575]
27	[144, 226, 75, 462]
28	[992, 321, 355, 35, 102, 73, 43, 972, 525, 621, 15, 717, 976, 242, 119, 121]
29	[545, 520, 395, 684, 622, 883, 980, 502, 216, 378, 155, 733, 31]
30	[387, 4, 269, 274, 669, 670, 799, 928, 550, 296, 40, 41, 169, 173, 174, 564, 56, 57, 442, 58, 443, 834, 837, 714, 79, 852, 855, 345, 732, 222, 363, 111, 500, 507]
31	[67, 265, 873, 206, 367, 239, 337, 179, 148, 88, 444, 924, 926]
32	[800, 225, 563, 605, 869, 824, 251, 620, 187]
33	[388, 324, 915, 213, 917, 533, 728, 344, 793, 989, 230, 168, 940, 945, 114, 51, 823, 764, 639]
34	[449, 826, 18, 757]
35	[832, 66, 775, 844, 530, 373, 859]
36	[673, 833, 643]
37	[258, 587, 716, 14, 610, 933, 870, 814, 889, 954]
38	[601, 195, 292, 143]
39	[326, 973, 527, 415, 999, 107, 365, 237, 245, 317]
40	[290, 198, 999, 523, 588, 396, 750, 107, 720, 341, 406, 760, 537, 282, 348]
41	[769, 967, 74, 139, 846, 849, 146, 401, 278, 856, 152, 930, 229, 236, 173, 694, 632, 634, 955]
42	[931, 102, 872, 587, 595, 116, 19, 183, 568, 24, 314, 285]
43	[817, 818, 6, 631, 427, 702, 813, 782, 957]
44	[784, 841, 756, 711]
45	[648, 338, 469, 287]
46	[800, 42, 818, 633, 93, 413]
47	[512, 770, 516, 261, 389, 8, 524, 81, 23, 153, 375, 612, 806, 947, 54, 695]
48	[929, 772, 36, 327, 152, 825, 509]
49	[655, 273, 279, 295]
50	[897, 515, 971, 523, 270, 975, 592, 911, 83, 84, 665, 538, 796, 223, 544, 998, 39, 551, 682, 874, 701]
51	[459, 241, 570, 698, 987, 858]
52	[561, 98, 772, 545]
53	[944, 339, 661, 694, 603]
54	[504, 666, 627, 175]
55	[393, 106, 580, 578]
56	[68, 167, 210, 604, 381, 254]
57	[386, 452, 457, 202, 779, 78, 526, 404, 853, 598, 599, 411, 27, 412, 166, 422, 490, 306, 562, 573, 830]
58	[897, 538, 39, 911]
59	[96, 830, 422, 457, 970, 221, 78]
60	[323, 821, 46, 183]
61	[672, 5, 108, 508, 893, 190]
62	[129, 458, 365, 527]
63	[360, 961, 764, 774]
64	[485, 424, 875, 908, 45, 754, 503, 282, 540, 383]
65	[408, 832, 700, 597]
66	[336, 64, 107, 414]
67	[564, 29, 302, 455]
68	[130, 147, 651, 181]
69	[306, 267, 900, 203]
70	[850, 499, 421, 623]
71	[882, 522, 708, 949, 710, 602, 293, 138, 235]
72	[958, 556, 397, 646]
73	[24, 331, 836, 596]
74	[969, 589, 910, 690, 863, 726, 543]
75	[49, 539, 484, 351]
76	[610, 546, 200, 526, 954, 189, 62]
77	[369, 355, 182, 719]
78	[211, 204, 990, 358]
79	[547, 552, 371, 284, 505, 667, 412]
80	[768, 706, 805, 871, 936, 752, 914, 854, 671]
81	[964, 965, 453, 615, 854, 249]
82	[298, 948, 797, 804]
83	[165, 893, 822, 343]
84	[737, 962, 796, 877]
85	[384, 299, 932, 558]
86	[696, 642, 644, 829]
87	[647, 161, 396, 809]
88	[257, 188, 765, 76]
89	[480, 115, 283, 199]
